"Step","logistic - train_loss","logistic - train_loss__MIN","logistic - train_loss__MAX"
"10","2.625287079811096","2.625287079811096","2.625287079811096"
"20","2.595111060142517","2.595111060142517","2.595111060142517"
"30","2.580852723121643","2.580852723121643","2.580852723121643"
"40","2.547121524810791","2.547121524810791","2.547121524810791"
"50","2.5315693616867065","2.5315693616867065","2.5315693616867065"
"60","2.5459921598434447","2.5459921598434447","2.5459921598434447"
"70","2.5331974983215333","2.5331974983215333","2.5331974983215333"
"80","2.5100757837295533","2.5100757837295533","2.5100757837295533"
"90","2.5144695520401","2.5144695520401","2.5144695520401"
"100","2.5227795362472536","2.5227795362472536","2.5227795362472536"
"110","2.560766267776489","2.560766267776489","2.560766267776489"
"120","2.5261165857315064","2.5261165857315064","2.5261165857315064"
"130","2.521682929992676","2.521682929992676","2.521682929992676"
"140","2.4877525806427","2.4877525806427","2.4877525806427"
"150","2.477571487426758","2.477571487426758","2.477571487426758"
"160","2.472441840171814","2.472441840171814","2.472441840171814"
"170","2.4774041414260863","2.4774041414260863","2.4774041414260863"
"180","2.4637894868850707","2.4637894868850707","2.4637894868850707"
"190","2.439660978317261","2.439660978317261","2.439660978317261"
"200","2.4222928524017333","2.4222928524017333","2.4222928524017333"
"210","2.4422229290008546","2.4422229290008546","2.4422229290008546"
"220","2.4329778432846068","2.4329778432846068","2.4329778432846068"
"230","2.4278271198272705","2.4278271198272705","2.4278271198272705"
"240","2.4409724712371825","2.4409724712371825","2.4409724712371825"
"250","2.3847464084625245","2.3847464084625245","2.3847464084625245"
"260","2.403713274002075","2.403713274002075","2.403713274002075"
"270","2.3852773666381837","2.3852773666381837","2.3852773666381837"
"280","2.3973116159439085","2.3973116159439085","2.3973116159439085"
"290","2.4360968589782717","2.4360968589782717","2.4360968589782717"
"300","2.3811259984970095","2.3811259984970095","2.3811259984970095"
"310","2.380450439453125","2.380450439453125","2.380450439453125"
"320","2.3857965230941773","2.3857965230941773","2.3857965230941773"
"330","2.395490574836731","2.395490574836731","2.395490574836731"
"340","2.3470309019088744","2.3470309019088744","2.3470309019088744"
"350","2.351942944526672","2.351942944526672","2.351942944526672"
"360","2.3760797023773192","2.3760797023773192","2.3760797023773192"
"370","2.3561460733413697","2.3561460733413697","2.3561460733413697"
"380","2.35614960193634","2.35614960193634","2.35614960193634"
"390","2.3626225709915163","2.3626225709915163","2.3626225709915163"
"400","2.117003846168518","2.117003846168518","2.117003846168518"
"410","2.34450364112854","2.34450364112854","2.34450364112854"
"420","2.356968545913696","2.356968545913696","2.356968545913696"
"430","2.360375428199768","2.360375428199768","2.360375428199768"
"440","2.316344451904297","2.316344451904297","2.316344451904297"
"450","2.339736485481262","2.339736485481262","2.339736485481262"
"460","2.320663905143738","2.320663905143738","2.320663905143738"
"470","2.359745454788208","2.359745454788208","2.359745454788208"
"480","2.319781041145325","2.319781041145325","2.319781041145325"
"490","2.327776026725769","2.327776026725769","2.327776026725769"
"500","2.310359978675842","2.310359978675842","2.310359978675842"
"510","2.295417141914368","2.295417141914368","2.295417141914368"
"520","2.314449834823608","2.314449834823608","2.314449834823608"
"530","2.2946036100387572","2.2946036100387572","2.2946036100387572"
"540","2.3099188089370726","2.3099188089370726","2.3099188089370726"
"550","2.3213820934295653","2.3213820934295653","2.3213820934295653"
"560","2.332405352592468","2.332405352592468","2.332405352592468"
"570","2.2827349662780763","2.2827349662780763","2.2827349662780763"
"580","2.3081515550613405","2.3081515550613405","2.3081515550613405"
"590","2.311319351196289","2.311319351196289","2.311319351196289"
"600","2.3090768575668337","2.3090768575668337","2.3090768575668337"
"610","2.256867504119873","2.256867504119873","2.256867504119873"
"620","2.298241138458252","2.298241138458252","2.298241138458252"
"630","2.272912049293518","2.272912049293518","2.272912049293518"
"640","2.2769052028656005","2.2769052028656005","2.2769052028656005"
"650","2.28473162651062","2.28473162651062","2.28473162651062"
"660","2.2509927988052367","2.2509927988052367","2.2509927988052367"
"670","2.28505163192749","2.28505163192749","2.28505163192749"
"680","2.2704511165618895","2.2704511165618895","2.2704511165618895"
"690","2.2889607667922975","2.2889607667922975","2.2889607667922975"
"700","2.284867358207703","2.284867358207703","2.284867358207703"
"710","2.2465808629989623","2.2465808629989623","2.2465808629989623"
"720","2.2733602285385133","2.2733602285385133","2.2733602285385133"
"730","2.278850030899048","2.278850030899048","2.278850030899048"
"740","2.255120325088501","2.255120325088501","2.255120325088501"
"750","2.226532483100891","2.226532483100891","2.226532483100891"
"760","2.267862319946289","2.267862319946289","2.267862319946289"
"770","2.2490405797958375","2.2490405797958375","2.2490405797958375"
"780","2.261388349533081","2.261388349533081","2.261388349533081"
"790","1.8012417554855347","1.8012417554855347","1.8012417554855347"
"800","2.227064824104309","2.227064824104309","2.227064824104309"
"810","2.215146040916443","2.215146040916443","2.215146040916443"
"820","2.2564254283905028","2.2564254283905028","2.2564254283905028"
"830","2.248026466369629","2.248026466369629","2.248026466369629"
"840","2.2465936660766603","2.2465936660766603","2.2465936660766603"
"850","2.264599823951721","2.264599823951721","2.264599823951721"
"860","2.2526500940322878","2.2526500940322878","2.2526500940322878"
"870","2.195100688934326","2.195100688934326","2.195100688934326"
"880","2.2048309564590456","2.2048309564590456","2.2048309564590456"
"890","2.2311275005340576","2.2311275005340576","2.2311275005340576"
"900","2.2063623428344727","2.2063623428344727","2.2063623428344727"
"910","2.2115848064422607","2.2115848064422607","2.2115848064422607"
"920","2.218032956123352","2.218032956123352","2.218032956123352"
"930","2.2387911081314087","2.2387911081314087","2.2387911081314087"
"940","2.2244826316833497","2.2244826316833497","2.2244826316833497"
"950","2.2626925468444825","2.2626925468444825","2.2626925468444825"
"960","2.2054566383361816","2.2054566383361816","2.2054566383361816"
"970","2.2399451971054076","2.2399451971054076","2.2399451971054076"
"980","2.2277996063232424","2.2277996063232424","2.2277996063232424"
"990","2.218349552154541","2.218349552154541","2.218349552154541"
"1000","2.201012372970581","2.201012372970581","2.201012372970581"
"1010","2.2363441944122315","2.2363441944122315","2.2363441944122315"
"1020","2.2174477577209473","2.2174477577209473","2.2174477577209473"
"1030","2.1992297410964965","2.1992297410964965","2.1992297410964965"
"1040","2.2101979732513426","2.2101979732513426","2.2101979732513426"
"1050","2.1890360593795775","2.1890360593795775","2.1890360593795775"
"1060","2.2271254777908327","2.2271254777908327","2.2271254777908327"
"1070","2.208457374572754","2.208457374572754","2.208457374572754"
"1080","2.2039064168930054","2.2039064168930054","2.2039064168930054"
"1090","2.223813009262085","2.223813009262085","2.223813009262085"
"1100","2.2173938512802125","2.2173938512802125","2.2173938512802125"
"1110","2.1953028202056886","2.1953028202056886","2.1953028202056886"
"1120","2.187923789024353","2.187923789024353","2.187923789024353"
"1130","2.19992573261261","2.19992573261261","2.19992573261261"
"1140","2.1833564758300783","2.1833564758300783","2.1833564758300783"
"1150","2.208832859992981","2.208832859992981","2.208832859992981"
"1160","2.186196494102478","2.186196494102478","2.186196494102478"
"1170","2.2009606838226317","2.2009606838226317","2.2009606838226317"
"1180","1.551051712036133","1.551051712036133","1.551051712036133"
"1190","2.1873979330062867","2.1873979330062867","2.1873979330062867"
"1200","2.199025368690491","2.199025368690491","2.199025368690491"
"1210","2.188774061203003","2.188774061203003","2.188774061203003"
"1220","2.1887722969055177","2.1887722969055177","2.1887722969055177"
"1230","2.177038884162903","2.177038884162903","2.177038884162903"
"1240","2.1759695768356324","2.1759695768356324","2.1759695768356324"
"1250","2.189892530441284","2.189892530441284","2.189892530441284"
"1260","2.1952846527099608","2.1952846527099608","2.1952846527099608"
"1270","2.1612070560455323","2.1612070560455323","2.1612070560455323"
"1280","2.1984920263290406","2.1984920263290406","2.1984920263290406"
"1290","2.2043059349060057","2.2043059349060057","2.2043059349060057"
"1300","2.188118028640747","2.188118028640747","2.188118028640747"
"1310","2.1719126224517824","2.1719126224517824","2.1719126224517824"
"1320","2.167535638809204","2.167535638809204","2.167535638809204"
"1330","2.1993230819702148","2.1993230819702148","2.1993230819702148"
"1340","2.1743780374526978","2.1743780374526978","2.1743780374526978"
"1350","2.1835254192352296","2.1835254192352296","2.1835254192352296"
"1360","2.1208791017532347","2.1208791017532347","2.1208791017532347"
"1370","2.2116825580596924","2.2116825580596924","2.2116825580596924"
"1380","2.1706343412399294","2.1706343412399294","2.1706343412399294"
"1390","2.1685691356658934","2.1685691356658934","2.1685691356658934"
"1400","2.1476552486419678","2.1476552486419678","2.1476552486419678"
"1410","2.1727496147155763","2.1727496147155763","2.1727496147155763"
"1420","2.190893125534058","2.190893125534058","2.190893125534058"
"1430","2.173007917404175","2.173007917404175","2.173007917404175"
"1440","2.1671009063720703","2.1671009063720703","2.1671009063720703"
"1450","2.1390940666198732","2.1390940666198732","2.1390940666198732"
"1460","2.16287682056427","2.16287682056427","2.16287682056427"
"1470","2.1432768583297728","2.1432768583297728","2.1432768583297728"
"1480","2.1560529708862304","2.1560529708862304","2.1560529708862304"
"1490","2.1423184394836428","2.1423184394836428","2.1423184394836428"
"1500","2.1677393436431887","2.1677393436431887","2.1677393436431887"
"1510","2.203703284263611","2.203703284263611","2.203703284263611"
"1520","2.1414597034454346","2.1414597034454346","2.1414597034454346"
"1530","2.1556684732437135","2.1556684732437135","2.1556684732437135"
"1540","2.1204740166664124","2.1204740166664124","2.1204740166664124"
"1550","2.1597570896148683","2.1597570896148683","2.1597570896148683"
"1560","2.168839120864868","2.168839120864868","2.168839120864868"
"1570","1.2747520208358765","1.2747520208358765","1.2747520208358765"
"1580","2.130220103263855","2.130220103263855","2.130220103263855"
"1590","2.1585259437561035","2.1585259437561035","2.1585259437561035"
"1600","2.1957459449768066","2.1957459449768066","2.1957459449768066"
"1610","2.134095621109009","2.134095621109009","2.134095621109009"
"1620","2.1414989471435546","2.1414989471435546","2.1414989471435546"
"1630","2.1337265014648437","2.1337265014648437","2.1337265014648437"
"1640","2.1966771841049195","2.1966771841049195","2.1966771841049195"
"1650","2.154944133758545","2.154944133758545","2.154944133758545"
"1660","2.1574546813964846","2.1574546813964846","2.1574546813964846"
"1670","2.138734984397888","2.138734984397888","2.138734984397888"
"1680","2.133527421951294","2.133527421951294","2.133527421951294"
"1690","2.119624614715576","2.119624614715576","2.119624614715576"
"1700","2.1070846796035765","2.1070846796035765","2.1070846796035765"
"1710","2.144922161102295","2.144922161102295","2.144922161102295"
"1720","2.1342972040176393","2.1342972040176393","2.1342972040176393"
"1730","2.155587887763977","2.155587887763977","2.155587887763977"
"1740","2.086913752555847","2.086913752555847","2.086913752555847"
"1750","2.1243568658828735","2.1243568658828735","2.1243568658828735"
"1760","2.1514209508895874","2.1514209508895874","2.1514209508895874"
"1770","2.144589924812317","2.144589924812317","2.144589924812317"
"1780","2.141741704940796","2.141741704940796","2.141741704940796"
"1790","2.1034168720245363","2.1034168720245363","2.1034168720245363"
"1800","2.1368834018707275","2.1368834018707275","2.1368834018707275"
"1810","2.1258395671844483","2.1258395671844483","2.1258395671844483"
"1820","2.123800206184387","2.123800206184387","2.123800206184387"
"1830","2.130375099182129","2.130375099182129","2.130375099182129"
"1840","2.0962992906570435","2.0962992906570435","2.0962992906570435"
"1850","2.1328315258026125","2.1328315258026125","2.1328315258026125"
"1860","2.1241746664047243","2.1241746664047243","2.1241746664047243"
"1870","2.169996809959412","2.169996809959412","2.169996809959412"
"1880","2.125432085990906","2.125432085990906","2.125432085990906"
"1890","2.0933508396148683","2.0933508396148683","2.0933508396148683"
"1900","2.1336650609970094","2.1336650609970094","2.1336650609970094"
"1910","2.118856954574585","2.118856954574585","2.118856954574585"
"1920","2.137313985824585","2.137313985824585","2.137313985824585"
"1930","2.1010848760604857","2.1010848760604857","2.1010848760604857"
"1940","2.134069728851318","2.134069728851318","2.134069728851318"
"1950","2.0898991942405702","2.0898991942405702","2.0898991942405702"
"1960","1.0712924003601074","1.0712924003601074","1.0712924003601074"
"1970","2.110878658294678","2.110878658294678","2.110878658294678"
"1980","2.1133344650268553","2.1133344650268553","2.1133344650268553"
"1990","2.1258163690567016","2.1258163690567016","2.1258163690567016"
"2000","2.1272295475006104","2.1272295475006104","2.1272295475006104"
"2010","2.1100130796432497","2.1100130796432497","2.1100130796432497"
"2020","2.1289955615997314","2.1289955615997314","2.1289955615997314"
"2030","2.1241270780563353","2.1241270780563353","2.1241270780563353"
"2040","2.0963326930999755","2.0963326930999755","2.0963326930999755"
"2050","2.10810444355011","2.10810444355011","2.10810444355011"
"2060","2.106381154060364","2.106381154060364","2.106381154060364"
"2070","2.0978403806686403","2.0978403806686403","2.0978403806686403"
"2080","2.1363288879394533","2.1363288879394533","2.1363288879394533"
"2090","2.101236367225647","2.101236367225647","2.101236367225647"
"2100","2.086816668510437","2.086816668510437","2.086816668510437"
"2110","2.1323474168777468","2.1323474168777468","2.1323474168777468"
"2120","2.1124343395233156","2.1124343395233156","2.1124343395233156"
"2130","2.1438313245773317","2.1438313245773317","2.1438313245773317"
"2140","2.079933190345764","2.079933190345764","2.079933190345764"
"2150","2.1018955230712892","2.1018955230712892","2.1018955230712892"
"2160","2.0772016286849975","2.0772016286849975","2.0772016286849975"
"2170","2.096674394607544","2.096674394607544","2.096674394607544"
"2180","2.1221841096878054","2.1221841096878054","2.1221841096878054"
"2190","2.1118900537490846","2.1118900537490846","2.1118900537490846"
"2200","2.078192341327667","2.078192341327667","2.078192341327667"
"2210","2.1070690751075745","2.1070690751075745","2.1070690751075745"
"2220","2.0807527780532835","2.0807527780532835","2.0807527780532835"
"2230","2.141477632522583","2.141477632522583","2.141477632522583"
