"Step","resnet-ep100-56-layers-max_lr-0.12 - train_loss","resnet-ep100-56-layers-max_lr-0.12 - train_loss__MIN","resnet-ep100-56-layers-max_lr-0.12 - train_loss__MAX","resnet-ep100-56-layers-max_lr-0.09 - train_loss","resnet-ep100-56-layers-max_lr-0.09 - train_loss__MIN","resnet-ep100-56-layers-max_lr-0.09 - train_loss__MAX","resnet-ep100-56-layers-max_lr-0.05 - train_loss","resnet-ep100-56-layers-max_lr-0.05 - train_loss__MIN","resnet-ep100-56-layers-max_lr-0.05 - train_loss__MAX","resnet-ep100-56-layers-no-data-augmentation - train_loss","resnet-ep100-56-layers-no-data-augmentation - train_loss__MIN","resnet-ep100-56-layers-no-data-augmentation - train_loss__MAX"
"49","2.668283224105835","2.668283224105835","2.668283224105835","2.6187784671783447","2.6187784671783447","2.6187784671783447","2.44386887550354","2.44386887550354","2.44386887550354","2.39052414894104","2.39052414894104","2.39052414894104"
"98","2.385854482650757","2.385854482650757","2.385854482650757","2.306948661804199","2.306948661804199","2.306948661804199","2.285626173019409","2.285626173019409","2.285626173019409","2.097952127456665","2.097952127456665","2.097952127456665"
"147","2.2447330951690674","2.2447330951690674","2.2447330951690674","2.2711968421936035","2.2711968421936035","2.2711968421936035","2.2648468017578125","2.2648468017578125","2.2648468017578125","1.7645409107208252","1.7645409107208252","1.7645409107208252"
"196","2.059730291366577","2.059730291366577","2.059730291366577","2.161623239517212","2.161623239517212","2.161623239517212","2.2727293968200684","2.2727293968200684","2.2727293968200684","1.5058107376098633","1.5058107376098633","1.5058107376098633"
"245","1.7732347249984741","1.7732347249984741","1.7732347249984741","1.8738222122192383","1.8738222122192383","1.8738222122192383","2.1791374683380127","2.1791374683380127","2.1791374683380127","1.2489745616912842","1.2489745616912842","1.2489745616912842"
"294","1.6234694719314575","1.6234694719314575","1.6234694719314575","1.6877497434616089","1.6877497434616089","1.6877497434616089","1.8450555801391602","1.8450555801391602","1.8450555801391602","1.029325246810913","1.029325246810913","1.029325246810913"
"343","1.4246858358383179","1.4246858358383179","1.4246858358383179","1.5455586910247803","1.5455586910247803","1.5455586910247803","1.5883514881134033","1.5883514881134033","1.5883514881134033","0.84564208984375","0.84564208984375","0.84564208984375"
"392","1.2767376899719238","1.2767376899719238","1.2767376899719238","1.3530774116516113","1.3530774116516113","1.3530774116516113","1.4273158311843872","1.4273158311843872","1.4273158311843872","0.7084911465644836","0.7084911465644836","0.7084911465644836"
"441","1.1169501543045044","1.1169501543045044","1.1169501543045044","1.1845812797546387","1.1845812797546387","1.1845812797546387","1.2779203653335571","1.2779203653335571","1.2779203653335571","0.6045325398445129","0.6045325398445129","0.6045325398445129"
"490","1.0075706243515015","1.0075706243515015","1.0075706243515015","1.0628504753112793","1.0628504753112793","1.0628504753112793","1.1718491315841675","1.1718491315841675","1.1718491315841675","0.5108221173286438","0.5108221173286438","0.5108221173286438"
"539","0.8891531229019165","0.8891531229019165","0.8891531229019165","0.9710979461669922","0.9710979461669922","0.9710979461669922","0.9601165652275085","0.9601165652275085","0.9601165652275085","0.43590787053108215","0.43590787053108215","0.43590787053108215"
"588","0.7929059863090515","0.7929059863090515","0.7929059863090515","0.8181823492050171","0.8181823492050171","0.8181823492050171","0.8359116315841675","0.8359116315841675","0.8359116315841675","0.39725518226623535","0.39725518226623535","0.39725518226623535"
"637","0.7426556944847107","0.7426556944847107","0.7426556944847107","0.6750594973564148","0.6750594973564148","0.6750594973564148","0.7538192868232727","0.7538192868232727","0.7538192868232727","0.3343013823032379","0.3343013823032379","0.3343013823032379"
"686","0.6228154301643372","0.6228154301643372","0.6228154301643372","0.5797566771507263","0.5797566771507263","0.5797566771507263","0.6711215376853943","0.6711215376853943","0.6711215376853943","0.287806898355484","0.287806898355484","0.287806898355484"
"735","0.5184104442596436","0.5184104442596436","0.5184104442596436","0.5013189911842346","0.5013189911842346","0.5013189911842346","0.5676640868186951","0.5676640868186951","0.5676640868186951","0.25866734981536865","0.25866734981536865","0.25866734981536865"
"784","0.45347410440444946","0.45347410440444946","0.45347410440444946","0.41291847825050354","0.41291847825050354","0.41291847825050354","0.4638516902923584","0.4638516902923584","0.4638516902923584","0.22224906086921692","0.22224906086921692","0.22224906086921692"
"833","0.3822140395641327","0.3822140395641327","0.3822140395641327","0.3686804473400116","0.3686804473400116","0.3686804473400116","0.39439648389816284","0.39439648389816284","0.39439648389816284","0.18695373833179474","0.18695373833179474","0.18695373833179474"
"882","0.3380962908267975","0.3380962908267975","0.3380962908267975","0.30123332142829895","0.30123332142829895","0.30123332142829895","0.34566015005111694","0.34566015005111694","0.34566015005111694","0.16163475811481476","0.16163475811481476","0.16163475811481476"
"931","0.28867417573928833","0.28867417573928833","0.28867417573928833","0.26714369654655457","0.26714369654655457","0.26714369654655457","0.29131436347961426","0.29131436347961426","0.29131436347961426","0.14421916007995605","0.14421916007995605","0.14421916007995605"
"980","0.24927298724651337","0.24927298724651337","0.24927298724651337","0.23113912343978882","0.23113912343978882","0.23113912343978882","0.252255380153656","0.252255380153656","0.252255380153656","0.12569287419319153","0.12569287419319153","0.12569287419319153"
"1029","0.22280648350715637","0.22280648350715637","0.22280648350715637","0.20209206640720367","0.20209206640720367","0.20209206640720367","0.21518608927726746","0.21518608927726746","0.21518608927726746","0.10910622030496597","0.10910622030496597","0.10910622030496597"
"1078","0.19588933885097504","0.19588933885097504","0.19588933885097504","0.1735144555568695","0.1735144555568695","0.1735144555568695","0.16876648366451263","0.16876648366451263","0.16876648366451263","0.0897926390171051","0.0897926390171051","0.0897926390171051"
"1127","0.18794049322605133","0.18794049322605133","0.18794049322605133","0.14531643688678741","0.14531643688678741","0.14531643688678741","0.1580638885498047","0.1580638885498047","0.1580638885498047","0.08560734242200851","0.08560734242200851","0.08560734242200851"
"1176","0.14804212749004364","0.14804212749004364","0.14804212749004364","0.13405334949493408","0.13405334949493408","0.13405334949493408","0.13057036697864532","0.13057036697864532","0.13057036697864532","0.07181201875209808","0.07181201875209808","0.07181201875209808"
"1225","0.14413835108280182","0.14413835108280182","0.14413835108280182","0.12418194115161896","0.12418194115161896","0.12418194115161896","0.10809072852134705","0.10809072852134705","0.10809072852134705","0.07340340316295624","0.07340340316295624","0.07340340316295624"
"1274","0.12562274932861328","0.12562274932861328","0.12562274932861328","0.11135690659284592","0.11135690659284592","0.11135690659284592","0.09925354272127151","0.09925354272127151","0.09925354272127151","0.05742974206805229","0.05742974206805229","0.05742974206805229"
"1323","0.11667220294475555","0.11667220294475555","0.11667220294475555","0.08838839083909988","0.08838839083909988","0.08838839083909988","0.08249204605817795","0.08249204605817795","0.08249204605817795","0.04805919900536537","0.04805919900536537","0.04805919900536537"
