"Step","cnn-ep100-20-layers-no-data-augmentation - train_loss","cnn-ep100-20-layers-no-data-augmentation - train_loss__MIN","cnn-ep100-20-layers-no-data-augmentation - train_loss__MAX","cnn-ep100-56-layers-no-data-augmentation - train_loss","cnn-ep100-56-layers-no-data-augmentation - train_loss__MIN","cnn-ep100-56-layers-no-data-augmentation - train_loss__MAX","cnn-ep100-32-layers-no-data-augmentation - train_loss","cnn-ep100-32-layers-no-data-augmentation - train_loss__MIN","cnn-ep100-32-layers-no-data-augmentation - train_loss__MAX"
"49","1.6881836652755737","1.6881836652755737","1.6881836652755737","2.1921908855438232","2.1921908855438232","2.1921908855438232","1.8686556816101074","1.8686556816101074","1.8686556816101074"
"98","1.2162588834762573","1.2162588834762573","1.2162588834762573","1.8791643381118774","1.8791643381118774","1.8791643381118774","1.414547324180603","1.414547324180603","1.414547324180603"
"147","0.9762442111968994","0.9762442111968994","0.9762442111968994","1.7638293504714966","1.7638293504714966","1.7638293504714966","1.1648277044296265","1.1648277044296265","1.1648277044296265"
"196","0.8090494871139526","0.8090494871139526","0.8090494871139526","1.6298279762268066","1.6298279762268066","1.6298279762268066","1.0081428289413452","1.0081428289413452","1.0081428289413452"
"245","0.6829184293746948","0.6829184293746948","0.6829184293746948","1.5486387014389038","1.5486387014389038","1.5486387014389038","0.9260509014129639","0.9260509014129639","0.9260509014129639"
"294","0.5799348950386047","0.5799348950386047","0.5799348950386047","1.4334461688995361","1.4334461688995361","1.4334461688995361","0.8342890739440918","0.8342890739440918","0.8342890739440918"
"343","0.5359403491020203","0.5359403491020203","0.5359403491020203","1.3644745349884033","1.3644745349884033","1.3644745349884033","0.7860280275344849","0.7860280275344849","0.7860280275344849"
"392","0.4883846938610077","0.4883846938610077","0.4883846938610077","1.2462736368179321","1.2462736368179321","1.2462736368179321","0.7312197685241699","0.7312197685241699","0.7312197685241699"
"441","0.4255899488925934","0.4255899488925934","0.4255899488925934","1.1352274417877197","1.1352274417877197","1.1352274417877197","0.668696939945221","0.668696939945221","0.668696939945221"
"490","0.40535104274749756","0.40535104274749756","0.40535104274749756","1.0775052309036255","1.0775052309036255","1.0775052309036255","0.6233175992965698","0.6233175992965698","0.6233175992965698"
"539","0.3698817491531372","0.3698817491531372","0.3698817491531372","1.0328590869903564","1.0328590869903564","1.0328590869903564","0.5673859715461731","0.5673859715461731","0.5673859715461731"
"588","0.336340069770813","0.336340069770813","0.336340069770813","0.9761083126068115","0.9761083126068115","0.9761083126068115","0.5334262251853943","0.5334262251853943","0.5334262251853943"
"637","0.30109933018684387","0.30109933018684387","0.30109933018684387","0.9378892183303833","0.9378892183303833","0.9378892183303833","0.5063280463218689","0.5063280463218689","0.5063280463218689"
"686","0.27817103266716003","0.27817103266716003","0.27817103266716003","0.8828957676887512","0.8828957676887512","0.8828957676887512","0.46556612849235535","0.46556612849235535","0.46556612849235535"
"735","0.24296005070209503","0.24296005070209503","0.24296005070209503","0.8450254797935486","0.8450254797935486","0.8450254797935486","0.4531721770763397","0.4531721770763397","0.4531721770763397"
"784","0.22744034230709076","0.22744034230709076","0.22744034230709076","0.7971606850624084","0.7971606850624084","0.7971606850624084","0.42989012598991394","0.42989012598991394","0.42989012598991394"
"833","0.22077524662017822","0.22077524662017822","0.22077524662017822","0.7681666612625122","0.7681666612625122","0.7681666612625122","0.40978777408599854","0.40978777408599854","0.40978777408599854"
"882","0.19648310542106628","0.19648310542106628","0.19648310542106628","0.7467247247695923","0.7467247247695923","0.7467247247695923","0.37638962268829346","0.37638962268829346","0.37638962268829346"
"931","0.17023000121116638","0.17023000121116638","0.17023000121116638","0.7118483185768127","0.7118483185768127","0.7118483185768127","0.3561443090438843","0.3561443090438843","0.3561443090438843"
"980","0.1753378063440323","0.1753378063440323","0.1753378063440323","0.6873535513877869","0.6873535513877869","0.6873535513877869","0.3234195113182068","0.3234195113182068","0.3234195113182068"
"1029","0.13225725293159485","0.13225725293159485","0.13225725293159485","0.6582227349281311","0.6582227349281311","0.6582227349281311","0.2985750734806061","0.2985750734806061","0.2985750734806061"
