"Step","vit_cifar10_ft_from_imagenet_lr2e-4_bs512 - train/epoch_learning_rate","vit_cifar10_ft_from_imagenet_lr2e-4_bs512 - train/epoch_learning_rate__MIN","vit_cifar10_ft_from_imagenet_lr2e-4_bs512 - train/epoch_learning_rate__MAX"
"98","0.00006733333333333333","0.00006733333333333333","0.00006733333333333333"
"196","0.00013366666666666667","0.00013366666666666667","0.00013366666666666667"
"294","0.0002","0.0002","0.0002"
"392","0.00019984891088511495","0.00019984891088511495","0.00019984891088511495"
"490","0.00019939610239313598","0.00019939610239313598","0.00019939610239313598"
"588","0.00019864294968857088","0.00019864294968857088","0.00019864294968857088"
"686","0.00019759174007142987","0.00019759174007142987","0.00019759174007142987"
"784","0.00019624566603077041","0.00019624566603077041","0.00019624566603077041"
"882","0.00019460881554921315","0.00019460881554921315","0.00019460881554921315"
"980","0.00019268615968787278","0.00019268615968787278","0.00019268615968787278"
"1078","0.00019048353748940896","0.00019048353748940896","0.00019048353748940896"
"1176","0.00018800763824504567","0.00018800763824504567","0.00018800763824504567"
"1274","0.00018526598117941356","0.00018526598117941356","0.00018526598117941356"
"1372","0.00018226689261491188","0.00018226689261491188","0.00018226689261491188"
"1470","0.0001790194806849412","0.0001790194806849412","0.0001790194806849412"
"1568","0.00017553360767280117","0.00017553360767280117","0.00017553360767280117"
"1666","0.00017181986006026091","0.00017181986006026091","0.00017181986006026091"
"1764","0.00016788951637676126","0.00016788951637676126","0.00016788951637676126"
"1862","0.00016375451294689183","0.00016375451294689183","0.00016375451294689183"
"1960","0.00015942740764016554","0.00015942740764016554","0.00015942740764016554"
