"Step","vit_cifar10_ft_from_imagenet_lr2e-4_bs512 - finetune/iter_loss","vit_cifar10_ft_from_imagenet_lr2e-4_bs512 - finetune/iter_loss__MIN","vit_cifar10_ft_from_imagenet_lr2e-4_bs512 - finetune/iter_loss__MAX"
"0","2.3560948371887207","2.3560948371887207","2.3560948371887207"
"1","2.3238983154296875","2.3238983154296875","2.3238983154296875"
"2","2.2891669273376465","2.2891669273376465","2.2891669273376465"
"3","2.249866247177124","2.249866247177124","2.249866247177124"
"4","2.220418691635132","2.220418691635132","2.220418691635132"
"5","2.20849347114563","2.20849347114563","2.20849347114563"
"6","2.167465925216675","2.167465925216675","2.167465925216675"
"7","2.1269261837005615","2.1269261837005615","2.1269261837005615"
"8","2.1176273822784424","2.1176273822784424","2.1176273822784424"
"9","2.0848512649536133","2.0848512649536133","2.0848512649536133"
"10","2.0246500968933105","2.0246500968933105","2.0246500968933105"
"11","1.9801579713821411","1.9801579713821411","1.9801579713821411"
"12","1.946926236152649","1.946926236152649","1.946926236152649"
"13","1.8998112678527832","1.8998112678527832","1.8998112678527832"
"14","1.8801625967025757","1.8801625967025757","1.8801625967025757"
"15","1.8163915872573853","1.8163915872573853","1.8163915872573853"
"16","1.804389238357544","1.804389238357544","1.804389238357544"
"17","1.7373623847961426","1.7373623847961426","1.7373623847961426"
"18","1.7037773132324219","1.7037773132324219","1.7037773132324219"
"19","1.7385823726654053","1.7385823726654053","1.7385823726654053"
"20","1.6569809913635254","1.6569809913635254","1.6569809913635254"
"21","1.657729148864746","1.657729148864746","1.657729148864746"
"22","1.6330763101577759","1.6330763101577759","1.6330763101577759"
"23","1.5468864440917969","1.5468864440917969","1.5468864440917969"
"24","1.5119298696517944","1.5119298696517944","1.5119298696517944"
"25","1.5389946699142456","1.5389946699142456","1.5389946699142456"
"26","1.4796104431152344","1.4796104431152344","1.4796104431152344"
"27","1.4093879461288452","1.4093879461288452","1.4093879461288452"
"28","1.4779376983642578","1.4779376983642578","1.4779376983642578"
"29","1.4528160095214844","1.4528160095214844","1.4528160095214844"
"30","1.4001129865646362","1.4001129865646362","1.4001129865646362"
"31","1.388498306274414","1.388498306274414","1.388498306274414"
"32","1.3732658624649048","1.3732658624649048","1.3732658624649048"
"33","1.3364405632019043","1.3364405632019043","1.3364405632019043"
"34","1.330920934677124","1.330920934677124","1.330920934677124"
"35","1.3208798170089722","1.3208798170089722","1.3208798170089722"
"36","1.3155542612075806","1.3155542612075806","1.3155542612075806"
"37","1.2648898363113403","1.2648898363113403","1.2648898363113403"
"38","1.323764681816101","1.323764681816101","1.323764681816101"
"39","1.23251211643219","1.23251211643219","1.23251211643219"
"40","1.2345268726348877","1.2345268726348877","1.2345268726348877"
"41","1.232230544090271","1.232230544090271","1.232230544090271"
"42","1.203319787979126","1.203319787979126","1.203319787979126"
"43","1.155020833015442","1.155020833015442","1.155020833015442"
"44","1.2220373153686523","1.2220373153686523","1.2220373153686523"
"45","1.170676350593567","1.170676350593567","1.170676350593567"
"46","1.178518533706665","1.178518533706665","1.178518533706665"
"47","1.1457308530807495","1.1457308530807495","1.1457308530807495"
"48","1.1107590198516846","1.1107590198516846","1.1107590198516846"
"49","1.0951366424560547","1.0951366424560547","1.0951366424560547"
"50","1.167433500289917","1.167433500289917","1.167433500289917"
"51","1.1572480201721191","1.1572480201721191","1.1572480201721191"
"52","1.1211562156677246","1.1211562156677246","1.1211562156677246"
"53","1.0751619338989258","1.0751619338989258","1.0751619338989258"
"54","1.114381194114685","1.114381194114685","1.114381194114685"
"55","1.1140050888061523","1.1140050888061523","1.1140050888061523"
"56","1.059222936630249","1.059222936630249","1.059222936630249"
"57","1.0423252582550049","1.0423252582550049","1.0423252582550049"
"58","1.1081312894821167","1.1081312894821167","1.1081312894821167"
"59","1.1005871295928955","1.1005871295928955","1.1005871295928955"
"60","1.0909343957901","1.0909343957901","1.0909343957901"
"61","1.0560885667800903","1.0560885667800903","1.0560885667800903"
"62","1.0514419078826904","1.0514419078826904","1.0514419078826904"
"63","1.0873006582260132","1.0873006582260132","1.0873006582260132"
"64","1.0615482330322266","1.0615482330322266","1.0615482330322266"
"65","1.0530807971954346","1.0530807971954346","1.0530807971954346"
"66","1.023210048675537","1.023210048675537","1.023210048675537"
