train_accuracy,train_loss,test_accuracy,test_loss,error_rates,alphas
0.78774,4.682192,0.323,118.747955,0.21226,3.508581
0.91596,1.851724,0.3889,133.242569,0.188198,3.658986
0.94328,1.370311,0.4075,156.964279,0.42401,2.503557
0.95522,1.041411,0.4213,170.671539,0.55778,1.965067
0.96546,0.780242,0.4319,181.057022,0.580574,1.872096
0.97018,0.65967,0.4349,194.225082,0.649773,1.579181
