train_accuracy,train_loss,test_accuracy,test_loss,error_rates,alphas
0.9963,0.018321,0.6597,9.340504,0.06236,4.907667
0.99884,0.010755,0.6783,15.780849,0.115228,4.235641
0.9991,0.010084,0.6849,19.977531,0.194415,3.618798
0.99932,0.008887,0.6904,24.282085,0.286677,3.108805
0.99932,0.007926,0.6936,28.551352,0.344557,2.840276
0.99944,0.007188,0.6945,32.213425,0.404566,2.583702
