"Step","vit-cifar10-baseline - train/learning_rate","vit-cifar10-baseline - train/learning_rate__MIN","vit-cifar10-baseline - train/learning_rate__MAX"
"164","0.0003","0.0003","0.0003"
"165","0.0003","0.0003","0.0003"
"166","0.0003","0.0003","0.0003"
"167","0.0003","0.0003","0.0003"
"168","0.0003","0.0003","0.0003"
"169","0.0003","0.0003","0.0003"
"170","0.0003","0.0003","0.0003"
"171","0.0003","0.0003","0.0003"
"172","0.0003","0.0003","0.0003"
"173","0.0003","0.0003","0.0003"
"174","0.0003","0.0003","0.0003"
"175","0.0003","0.0003","0.0003"
"176","0.0003","0.0003","0.0003"
"177","0.0003","0.0003","0.0003"
"178","0.0003","0.0003","0.0003"
"179","0.0003","0.0003","0.0003"
"180","0.0003","0.0003","0.0003"
"181","0.0003","0.0003","0.0003"
"182","0.0003","0.0003","0.0003"
