"Step","resnet-ep100-56-layers-data-augmentation-correct - train_loss","resnet-ep100-56-layers-data-augmentation-correct - train_loss__MIN","resnet-ep100-56-layers-data-augmentation-correct - train_loss__MAX","resnet-ep100-32-layers-data-augmentation-correct - train_loss","resnet-ep100-32-layers-data-augmentation-correct - train_loss__MIN","resnet-ep100-32-layers-data-augmentation-correct - train_loss__MAX","resnet-ep100-20-layers-data-augmentation-correct - train_loss","resnet-ep100-20-layers-data-augmentation-correct - train_loss__MIN","resnet-ep100-20-layers-data-augmentation-correct - train_loss__MAX"
"49","2.4725241661071777","2.4725241661071777","2.4725241661071777","1.8701202869415283","1.8701202869415283","1.8701202869415283","1.6781429052352905","1.6781429052352905","1.6781429052352905"
"98","1.9100189208984375","1.9100189208984375","1.9100189208984375","1.331635594367981","1.331635594367981","1.331635594367981","1.206976056098938","1.206976056098938","1.206976056098938"
"147","1.5574012994766235","1.5574012994766235","1.5574012994766235","1.0663880109786987","1.0663880109786987","1.0663880109786987","0.9646536707878113","0.9646536707878113","0.9646536707878113"
"196","1.2935307025909424","1.2935307025909424","1.2935307025909424","0.8871236443519592","0.8871236443519592","0.8871236443519592","0.833432137966156","0.833432137966156","0.833432137966156"
"245","1.0979446172714233","1.0979446172714233","1.0979446172714233","0.7588381767272949","0.7588381767272949","0.7588381767272949","0.7089688777923584","0.7089688777923584","0.7089688777923584"
"294","0.9390270113945007","0.9390270113945007","0.9390270113945007","0.6554170846939087","0.6554170846939087","0.6554170846939087","0.6097310185432434","0.6097310185432434","0.6097310185432434"
"343","0.8166934251785278","0.8166934251785278","0.8166934251785278","0.565830409526825","0.565830409526825","0.565830409526825","0.5368626117706299","0.5368626117706299","0.5368626117706299"
"392","0.7232035398483276","0.7232035398483276","0.7232035398483276","0.5003675222396851","0.5003675222396851","0.5003675222396851","0.4945743978023529","0.4945743978023529","0.4945743978023529"
"441","0.645113468170166","0.645113468170166","0.645113468170166","0.47511374950408936","0.47511374950408936","0.47511374950408936","0.4428398609161377","0.4428398609161377","0.4428398609161377"
"490","0.5860347747802734","0.5860347747802734","0.5860347747802734","0.43521028757095337","0.43521028757095337","0.43521028757095337","0.4095213711261749","0.4095213711261749","0.4095213711261749"
"539","0.5172224044799805","0.5172224044799805","0.5172224044799805","0.39643943309783936","0.39643943309783936","0.39643943309783936","0.383655846118927","0.383655846118927","0.383655846118927"
"588","0.4690469801425934","0.4690469801425934","0.4690469801425934","0.36856845021247864","0.36856845021247864","0.36856845021247864","0.3635435104370117","0.3635435104370117","0.3635435104370117"
"637","0.4295090138912201","0.4295090138912201","0.4295090138912201","0.3486289978027344","0.3486289978027344","0.3486289978027344","0.3329388201236725","0.3329388201236725","0.3329388201236725"
