"Step","vit-base16-cifar-lr-1e-4-bs128 - train/avg_loss","vit-base16-cifar-lr-1e-4-bs128 - train/avg_loss__MIN","vit-base16-cifar-lr-1e-4-bs128 - train/avg_loss__MAX"
"0","1.8835369601578968","1.8835369601578968","1.8835369601578968"
"1","1.6365107944249497","1.6365107944249497","1.6365107944249497"
"2","1.496888821692113","1.496888821692113","1.496888821692113"
"3","1.3721657976165147","1.3721657976165147","1.3721657976165147"
"4","1.261643941445119","1.261643941445119","1.261643941445119"
"5","1.1782177506810259","1.1782177506810259","1.1782177506810259"
"6","1.097249635954952","1.097249635954952","1.097249635954952"
"7","1.0577360981565607","1.0577360981565607","1.0577360981565607"
"8","1.007996897258417","1.007996897258417","1.007996897258417"
"9","0.9812852700652979","0.9812852700652979","0.9812852700652979"
"10","0.9280416445658944","0.9280416445658944","0.9280416445658944"
"11","0.8879915417917549","0.8879915417917549","0.8879915417917549"
"12","0.853228010332493","0.853228010332493","0.853228010332493"
"13","0.811878829965811","0.811878829965811","0.811878829965811"
"14","0.7777421427199908","0.7777421427199908","0.7777421427199908"
"15","0.7473699383418578","0.7473699383418578","0.7473699383418578"
"16","0.7171786740003034","0.7171786740003034","0.7171786740003034"
"17","0.6785856960984447","0.6785856960984447","0.6785856960984447"
"18","0.6572244629225767","0.6572244629225767","0.6572244629225767"
"19","0.6296287094388167","0.6296287094388167","0.6296287094388167"
"20","0.6091757289436467","0.6091757289436467","0.6091757289436467"
"21","0.574223659608675","0.574223659608675","0.574223659608675"
"22","0.5521226549697349","0.5521226549697349","0.5521226549697349"
"23","0.5229576965579597","0.5229576965579597","0.5229576965579597"
"24","0.5083251809677505","0.5083251809677505","0.5083251809677505"
"25","0.47397217306944417","0.47397217306944417","0.47397217306944417"
"26","0.4537966762052473","0.4537966762052473","0.4537966762052473"
"27","0.4328638915439396","0.4328638915439396","0.4328638915439396"
"28","0.40490503315730475","0.40490503315730475","0.40490503315730475"
"29","0.3887663090701603","0.3887663090701603","0.3887663090701603"
"30","0.36365500222081726","0.36365500222081726","0.36365500222081726"
"31","0.3388208741574641","0.3388208741574641","0.3388208741574641"
"32","0.3146496304618123","0.3146496304618123","0.3146496304618123"
"33","0.3055075463050467","0.3055075463050467","0.3055075463050467"
"34","0.2867420171304127","0.2867420171304127","0.2867420171304127"
"35","0.2586031514779686","0.2586031514779686","0.2586031514779686"
"36","0.24584958717569977","0.24584958717569977","0.24584958717569977"
"37","0.23116216210224438","0.23116216210224438","0.23116216210224438"
"38","0.2064017083524438","0.2064017083524438","0.2064017083524438"
"39","0.19749578574429388","0.19749578574429388","0.19749578574429388"
"40","0.17912260244798173","0.17912260244798173","0.17912260244798173"
"41","0.16961785042872818","0.16961785042872818","0.16961785042872818"
"42","0.15681809673795616","0.15681809673795616","0.15681809673795616"
"43","0.14769349910337906","0.14769349910337906","0.14769349910337906"
"44","0.13810295642108258","0.13810295642108258","0.13810295642108258"
"45","0.1268057377432542","0.1268057377432542","0.1268057377432542"
"46","0.11319439483287237","0.11319439483287237","0.11319439483287237"
"47","0.10273707478457247","0.10273707478457247","0.10273707478457247"
"48","0.10265353709802298","0.10265353709802298","0.10265353709802298"
"49","0.09542523584116602","0.09542523584116602","0.09542523584116602"
"50","0.0881475726061541","0.0881475726061541","0.0881475726061541"
"51","0.0794641679114736","0.0794641679114736","0.0794641679114736"
"52","0.0746479573161782","0.0746479573161782","0.0746479573161782"
"53","0.07454631039801309","0.07454631039801309","0.07454631039801309"
"54","0.06336416379855875","0.06336416379855875","0.06336416379855875"
"55","0.05972159414640282","0.05972159414640282","0.05972159414640282"
"56","0.05520265676614726","0.05520265676614726","0.05520265676614726"
"57","0.05425417909155721","0.05425417909155721","0.05425417909155721"
"58","0.046760900784522066","0.046760900784522066","0.046760900784522066"
"59","0.04792609110788997","0.04792609110788997","0.04792609110788997"
"60","0.04477135612703193","0.04477135612703193","0.04477135612703193"
"61","0.03990734246311724","0.03990734246311724","0.03990734246311724"
"62","0.03467017853968417","0.03467017853968417","0.03467017853968417"
"63","0.033441488260088865","0.033441488260088865","0.033441488260088865"
"64","0.029395885491336378","0.029395885491336378","0.029395885491336378"
"65","0.02638298585234434","0.02638298585234434","0.02638298585234434"
"66","0.026016049502391243","0.026016049502391243","0.026016049502391243"
"67","0.02505146336349923","0.02505146336349923","0.02505146336349923"
"68","0.021046915235381353","0.021046915235381353","0.021046915235381353"
"69","0.021834752368627596","0.021834752368627596","0.021834752368627596"
"70","0.016679446989893102","0.016679446989893102","0.016679446989893102"
"71","0.014248458989922677","0.014248458989922677","0.014248458989922677"
"72","0.014321209472941134","0.014321209472941134","0.014321209472941134"
"73","0.013091272323468552","0.013091272323468552","0.013091272323468552"
"74","0.011894089640523105","0.011894089640523105","0.011894089640523105"
"75","0.009887308585490254","0.009887308585490254","0.009887308585490254"
"76","0.01123944370661412","0.01123944370661412","0.01123944370661412"
"77","0.009545711533087866","0.009545711533087866","0.009545711533087866"
"78","0.006479809187082312","0.006479809187082312","0.006479809187082312"
"79","0.007829665704264098","0.007829665704264098","0.007829665704264098"
"80","0.005968705851376555","0.005968705851376555","0.005968705851376555"
