"Step","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.12 - train_loss","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.12 - train_loss__MIN","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.12 - train_loss__MAX","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.09 - train_loss","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.09 - train_loss__MIN","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.09 - train_loss__MAX","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.05 - train_loss","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.05 - train_loss__MIN","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.05 - train_loss__MAX","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.01 - train_loss","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.01 - train_loss__MIN","cnn-ep100-32-layers-no-data-augmentation-max_lr-0.01 - train_loss__MAX"
"49","2.2557475566864014","2.2557475566864014","2.2557475566864014","2.2115368843078613","2.2115368843078613","2.2115368843078613","2.2412829399108887","2.2412829399108887","2.2412829399108887","1.8686556816101074","1.8686556816101074","1.8686556816101074"
"98","1.9301570653915405","1.9301570653915405","1.9301570653915405","1.963788390159607","1.963788390159607","1.963788390159607","1.9023511409759521","1.9023511409759521","1.9023511409759521","1.414547324180603","1.414547324180603","1.414547324180603"
"147","1.7712907791137695","1.7712907791137695","1.7712907791137695","1.8409091234207153","1.8409091234207153","1.8409091234207153","1.773584246635437","1.773584246635437","1.773584246635437","1.1648277044296265","1.1648277044296265","1.1648277044296265"
"196","1.6406694650650024","1.6406694650650024","1.6406694650650024","1.7616803646087646","1.7616803646087646","1.7616803646087646","1.6422442197799683","1.6422442197799683","1.6422442197799683","1.0081428289413452","1.0081428289413452","1.0081428289413452"
"245","1.532707929611206","1.532707929611206","1.532707929611206","1.6399426460266113","1.6399426460266113","1.6399426460266113","1.550767183303833","1.550767183303833","1.550767183303833","0.9260509014129639","0.9260509014129639","0.9260509014129639"
"294","1.4523571729660034","1.4523571729660034","1.4523571729660034","1.5497955083847046","1.5497955083847046","1.5497955083847046","1.4430252313613892","1.4430252313613892","1.4430252313613892","0.8342890739440918","0.8342890739440918","0.8342890739440918"
"343","1.3743784427642822","1.3743784427642822","1.3743784427642822","1.4596015214920044","1.4596015214920044","1.4596015214920044","1.3517589569091797","1.3517589569091797","1.3517589569091797","0.7860280275344849","0.7860280275344849","0.7860280275344849"
"392","1.2999012470245361","1.2999012470245361","1.2999012470245361","1.3454645872116089","1.3454645872116089","1.3454645872116089","1.2570990324020386","1.2570990324020386","1.2570990324020386","0.7312197685241699","0.7312197685241699","0.7312197685241699"
"441","1.1911098957061768","1.1911098957061768","1.1911098957061768","1.2509369850158691","1.2509369850158691","1.2509369850158691","1.181908369064331","1.181908369064331","1.181908369064331","0.668696939945221","0.668696939945221","0.668696939945221"
"490","1.1284880638122559","1.1284880638122559","1.1284880638122559","1.18017578125","1.18017578125","1.18017578125","1.113278865814209","1.113278865814209","1.113278865814209","0.6233175992965698","0.6233175992965698","0.6233175992965698"
"539","1.0713350772857666","1.0713350772857666","1.0713350772857666","1.1199941635131836","1.1199941635131836","1.1199941635131836","1.0507550239562988","1.0507550239562988","1.0507550239562988","0.5673859715461731","0.5673859715461731","0.5673859715461731"
"588","0.9943011403083801","0.9943011403083801","0.9943011403083801","1.04053795337677","1.04053795337677","1.04053795337677","0.988315224647522","0.988315224647522","0.988315224647522","0.5334262251853943","0.5334262251853943","0.5334262251853943"
"637","0.9428452253341675","0.9428452253341675","0.9428452253341675","1.0084599256515503","1.0084599256515503","1.0084599256515503","0.9356585741043091","0.9356585741043091","0.9356585741043091","0.5063280463218689","0.5063280463218689","0.5063280463218689"
"686","0.9163066148757935","0.9163066148757935","0.9163066148757935","0.9530581831932068","0.9530581831932068","0.9530581831932068","0.8816447257995605","0.8816447257995605","0.8816447257995605","0.46556612849235535","0.46556612849235535","0.46556612849235535"
"735","0.8731502294540405","0.8731502294540405","0.8731502294540405","0.888138473033905","0.888138473033905","0.888138473033905","0.8492864370346069","0.8492864370346069","0.8492864370346069","0.4531721770763397","0.4531721770763397","0.4531721770763397"
"784","0.8551579713821411","0.8551579713821411","0.8551579713821411","0.8602861762046814","0.8602861762046814","0.8602861762046814","0.8163005113601685","0.8163005113601685","0.8163005113601685","0.42989012598991394","0.42989012598991394","0.42989012598991394"
"833","0.7991748452186584","0.7991748452186584","0.7991748452186584","0.821064829826355","0.821064829826355","0.821064829826355","0.7604119181632996","0.7604119181632996","0.7604119181632996","0.40978777408599854","0.40978777408599854","0.40978777408599854"
"882","0.7525628209114075","0.7525628209114075","0.7525628209114075","0.7661868333816528","0.7661868333816528","0.7661868333816528","0.7549648284912109","0.7549648284912109","0.7549648284912109","0.37638962268829346","0.37638962268829346","0.37638962268829346"
"931","0.7621826529502869","0.7621826529502869","0.7621826529502869","0.7408398985862732","0.7408398985862732","0.7408398985862732","0.7044309973716736","0.7044309973716736","0.7044309973716736","0.3561443090438843","0.3561443090438843","0.3561443090438843"
"980","0.7056350708007812","0.7056350708007812","0.7056350708007812","0.6997953057289124","0.6997953057289124","0.6997953057289124","0.6648534536361694","0.6648534536361694","0.6648534536361694","0.3234195113182068","0.3234195113182068","0.3234195113182068"
"1029","0.6757902503013611","0.6757902503013611","0.6757902503013611","0.6566352844238281","0.6566352844238281","0.6566352844238281","0.6255192756652832","0.6255192756652832","0.6255192756652832","0.2985750734806061","0.2985750734806061","0.2985750734806061"
"1078","0.648970901966095","0.648970901966095","0.648970901966095","0.6358853578567505","0.6358853578567505","0.6358853578567505","0.6116610169410706","0.6116610169410706","0.6116610169410706","0.2900886833667755","0.2900886833667755","0.2900886833667755"
"1127","0.6249221563339233","0.6249221563339233","0.6249221563339233","0.5944900512695312","0.5944900512695312","0.5944900512695312","0.5790717005729675","0.5790717005729675","0.5790717005729675","0.2730342149734497","0.2730342149734497","0.2730342149734497"
"1176","0.59189772605896","0.59189772605896","0.59189772605896","0.577307939529419","0.577307939529419","0.577307939529419","0.5487642884254456","0.5487642884254456","0.5487642884254456","0.2538749873638153","0.2538749873638153","0.2538749873638153"
"1225","0.5784109830856323","0.5784109830856323","0.5784109830856323","0.5388615131378174","0.5388615131378174","0.5388615131378174","0.5297821164131165","0.5297821164131165","0.5297821164131165","0.22364237904548645","0.22364237904548645","0.22364237904548645"
"1274","0.541267991065979","0.541267991065979","0.541267991065979","0.5030022859573364","0.5030022859573364","0.5030022859573364","0.507469654083252","0.507469654083252","0.507469654083252","0.20349739491939545","0.20349739491939545","0.20349739491939545"
"1323","0.5185047388076782","0.5185047388076782","0.5185047388076782","0.47413548827171326","0.47413548827171326","0.47413548827171326","0.49012520909309387","0.49012520909309387","0.49012520909309387","0.2040558010339737","0.2040558010339737","0.2040558010339737"
"1372","0.4891815781593323","0.4891815781593323","0.4891815781593323","0.4527663290500641","0.4527663290500641","0.4527663290500641","0.4554320275783539","0.4554320275783539","0.4554320275783539","0.17896564304828644","0.17896564304828644","0.17896564304828644"
"1421","0.4895642101764679","0.4895642101764679","0.4895642101764679","0.41303473711013794","0.41303473711013794","0.41303473711013794","0.43568605184555054","0.43568605184555054","0.43568605184555054","0.16032762825489044","0.16032762825489044","0.16032762825489044"
"1470","0.44085946679115295","0.44085946679115295","0.44085946679115295","0.3916250169277191","0.3916250169277191","0.3916250169277191","0.4177742600440979","0.4177742600440979","0.4177742600440979","0.14631254971027374","0.14631254971027374","0.14631254971027374"
"1519","0.41890162229537964","0.41890162229537964","0.41890162229537964","0.3734445571899414","0.3734445571899414","0.3734445571899414","0.3919338881969452","0.3919338881969452","0.3919338881969452","0.13503845036029816","0.13503845036029816","0.13503845036029816"
"1568","0.427474707365036","0.427474707365036","0.427474707365036","0.3493121862411499","0.3493121862411499","0.3493121862411499","0.36720073223114014","0.36720073223114014","0.36720073223114014","0.12645970284938812","0.12645970284938812","0.12645970284938812"
"1617","0.3895636796951294","0.3895636796951294","0.3895636796951294","0.3285104036331177","0.3285104036331177","0.3285104036331177","0.34664300084114075","0.34664300084114075","0.34664300084114075","0.11353375762701035","0.11353375762701035","0.11353375762701035"
"1666","0.36067643761634827","0.36067643761634827","0.36067643761634827","0.2981998324394226","0.2981998324394226","0.2981998324394226","0.3300759792327881","0.3300759792327881","0.3300759792327881","0.10054139792919159","0.10054139792919159","0.10054139792919159"
"1715","0.34287577867507935","0.34287577867507935","0.34287577867507935","0.2778039276599884","0.2778039276599884","0.2778039276599884","0.32230865955352783","0.32230865955352783","0.32230865955352783","0.09281298518180847","0.09281298518180847","0.09281298518180847"
"1764","0.3304852545261383","0.3304852545261383","0.3304852545261383","0.25148919224739075","0.25148919224739075","0.25148919224739075","0.2834714651107788","0.2834714651107788","0.2834714651107788","0.1028231754899025","0.1028231754899025","0.1028231754899025"
"1813","0.3030185103416443","0.3030185103416443","0.3030185103416443","0.2308853715658188","0.2308853715658188","0.2308853715658188","0.2777117192745209","0.2777117192745209","0.2777117192745209","0.08338548243045807","0.08338548243045807","0.08338548243045807"
"1862","0.2882814407348633","0.2882814407348633","0.2882814407348633","0.21900126338005066","0.21900126338005066","0.21900126338005066","0.26075848937034607","0.26075848937034607","0.26075848937034607","0.06758937239646912","0.06758937239646912","0.06758937239646912"
"1911","0.2835315763950348","0.2835315763950348","0.2835315763950348","0.21171730756759644","0.21171730756759644","0.21171730756759644","0.24419671297073364","0.24419671297073364","0.24419671297073364","0.07344374805688858","0.07344374805688858","0.07344374805688858"
