"Step","resnet-ep100-32-layers-max_lr-0.12 - train_loss","resnet-ep100-32-layers-max_lr-0.12 - train_loss__MIN","resnet-ep100-32-layers-max_lr-0.12 - train_loss__MAX","resnet-ep100-32-layers-max_lr-0.09 - train_loss","resnet-ep100-32-layers-max_lr-0.09 - train_loss__MIN","resnet-ep100-32-layers-max_lr-0.09 - train_loss__MAX","resnet-ep100-32-layers-max_lr-0.05 - train_loss","resnet-ep100-32-layers-max_lr-0.05 - train_loss__MIN","resnet-ep100-32-layers-max_lr-0.05 - train_loss__MAX","resnet-ep100-32-layers-max_lr-0.01 - train_loss","resnet-ep100-32-layers-max_lr-0.01 - train_loss__MIN","resnet-ep100-32-layers-max_lr-0.01 - train_loss__MAX"
"49","2.5442276000976562","2.5442276000976562","2.5442276000976562","2.4191603660583496","2.4191603660583496","2.4191603660583496","2.238208293914795","2.238208293914795","2.238208293914795","2.0679991245269775","2.0679991245269775","2.0679991245269775"
"98","2.0448222160339355","2.0448222160339355","2.0448222160339355","1.920087218284607","1.920087218284607","1.920087218284607","1.8808655738830566","1.8808655738830566","1.8808655738830566","1.5899993181228638","1.5899993181228638","1.5899993181228638"
"147","1.8097691535949707","1.8097691535949707","1.8097691535949707","1.6306049823760986","1.6306049823760986","1.6306049823760986","1.686514973640442","1.686514973640442","1.686514973640442","1.3155730962753296","1.3155730962753296","1.3155730962753296"
"196","1.6002599000930786","1.6002599000930786","1.6002599000930786","1.4571946859359741","1.4571946859359741","1.4571946859359741","1.503663182258606","1.503663182258606","1.503663182258606","1.1168098449707031","1.1168098449707031","1.1168098449707031"
"245","1.4464662075042725","1.4464662075042725","1.4464662075042725","1.2987303733825684","1.2987303733825684","1.2987303733825684","1.3112462759017944","1.3112462759017944","1.3112462759017944","0.960019052028656","0.960019052028656","0.960019052028656"
"294","1.2721920013427734","1.2721920013427734","1.2721920013427734","1.135655403137207","1.135655403137207","1.135655403137207","1.1737687587738037","1.1737687587738037","1.1737687587738037","0.8422186374664307","0.8422186374664307","0.8422186374664307"
"343","1.1239451169967651","1.1239451169967651","1.1239451169967651","0.9988434314727783","0.9988434314727783","0.9988434314727783","1.0354558229446411","1.0354558229446411","1.0354558229446411","0.7291328310966492","0.7291328310966492","0.7291328310966492"
"392","0.9812774658203125","0.9812774658203125","0.9812774658203125","0.8765298128128052","0.8765298128128052","0.8765298128128052","0.9255372285842896","0.9255372285842896","0.9255372285842896","0.6486906409263611","0.6486906409263611","0.6486906409263611"
"441","0.8884821534156799","0.8884821534156799","0.8884821534156799","0.7655481696128845","0.7655481696128845","0.7655481696128845","0.831409215927124","0.831409215927124","0.831409215927124","0.5724673271179199","0.5724673271179199","0.5724673271179199"
"490","0.7878232002258301","0.7878232002258301","0.7878232002258301","0.6823782324790955","0.6823782324790955","0.6823782324790955","0.7551521062850952","0.7551521062850952","0.7551521062850952","0.5185844302177429","0.5185844302177429","0.5185844302177429"
"539","0.7066734433174133","0.7066734433174133","0.7066734433174133","0.5929949879646301","0.5929949879646301","0.5929949879646301","0.6855987310409546","0.6855987310409546","0.6855987310409546","0.48310041427612305","0.48310041427612305","0.48310041427612305"
"588","0.6415484547615051","0.6415484547615051","0.6415484547615051","0.5236600041389465","0.5236600041389465","0.5236600041389465","0.6140095591545105","0.6140095591545105","0.6140095591545105","0.45245468616485596","0.45245468616485596","0.45245468616485596"
"637","0.5714401602745056","0.5714401602745056","0.5714401602745056","0.47466713190078735","0.47466713190078735","0.47466713190078735","0.5527670383453369","0.5527670383453369","0.5527670383453369","0.4061164855957031","0.4061164855957031","0.4061164855957031"
