"Step","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_learning_rate","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_learning_rate__MIN","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_learning_rate__MAX"
"553","0.00026750000000000005","0.00026750000000000005","0.00026750000000000005"
"1106","0.0005340000000000001","0.0005340000000000001","0.0005340000000000001"
"1659","0.0008005000000000001","0.0008005000000000001","0.0008005000000000001"
"2212","0.001067","0.001067","0.001067"
"2765","0.0013335","0.0013335","0.0013335"
"3318","0.0016","0.0016","0.0016"
"3871","0.001599954612309462","0.001599954612309462","0.001599954612309462"
"4424","0.001599818454420345","0.001599818454420345","0.001599818454420345"
"4977","0.001599591541879547","0.001599591541879547","0.001599591541879547"
"5530","0.0015992739005965932","0.0015992739005965932","0.0015992739005965932"
"6083","0.0015988655668406767","0.0015988655668406767","0.0015988655668406767"
"6636","0.0015983665872365174","0.0015983665872365174","0.0015983665872365174"
"7189","0.0015977770187590383","0.0015977770187590383","0.0015977770187590383"
"7742","0.0015970969287268594","0.0015970969287268594","0.0015970969287268594"
"8295","0.0015963263947946127","0.0015963263947946127","0.0015963263947946127"
"8848","0.0015954655049440728","0.0015954655049440728","0.0015954655049440728"
"9401","0.001594514357474113","0.001594514357474113","0.001594514357474113"
"9954","0.0015934730609894806","0.0015934730609894806","0.0015934730609894806"
"10507","0.0015923417343883964","0.0015923417343883964","0.0015923417343883964"
"11060","0.0015911205068489772","0.0015911205068489772","0.0015911205068489772"
"11613","0.001589809517814488","0.001589809517814488","0.001589809517814488"
"12166","0.0015884089169774177","0.0015884089169774177","0.0015884089169774177"
"12719","0.0015869188642623896","0.0015869188642623896","0.0015869188642623896"
"13272","0.001585339529807897","0.001585339529807897","0.001585339529807897"
"13825","0.00158367109394688","0.00158367109394688","0.00158367109394688"
"14378","0.0015819137471861325","0.0015819137471861325","0.0015819137471861325"
"14931","0.0015800676901845498","0.0015800676901845498","0.0015800676901845498"
"15484","0.0015781331337302172","0.0015781331337302172","0.0015781331337302172"
"16037","0.0015761102987163415","0.0015761102987163415","0.0015761102987163415"
"16590","0.0015739994161160285","0.0015739994161160285","0.0015739994161160285"
"17143","0.0015718007269559103","0.0015718007269559103","0.0015718007269559103"
"17696","0.001569514482288624","0.001569514482288624","0.001569514482288624"
"18249","0.0015671409431641452","0.0015671409431641452","0.0015671409431641452"
"18802","0.001564680380599982","0.001564680380599982","0.001564680380599982"
"19355","0.0015621330755502276","0.0015621330755502276","0.0015621330755502276"
"19908","0.0015594993188734817","0.0015594993188734817","0.0015594993188734817"
"20461","0.0015567794112996386","0.0015567794112996386","0.0015567794112996386"
"21014","0.0015539736633955492","0.0015539736633955492","0.0015539736633955492"
"21567","0.0015510823955295595","0.0015510823955295595","0.0015510823955295595"
"22120","0.0015481059378349307","0.0015481059378349307","0.0015481059378349307"
"22673","0.0015450446301721425","0.0015450446301721425","0.0015450446301721425"
"23226","0.0015418988220900873","0.0015418988220900873","0.0015418988220900873"
"23779","0.0015386688727861586","0.0015386688727861586","0.0015386688727861586"
"24332","0.001535355151065235","0.001535355151065235","0.001535355151065235"
"24885","0.001531958035297571","0.001531958035297571","0.001531958035297571"
"25438","0.001528477913375592","0.001528477913375592","0.001528477913375592"
"25991","0.0015249151826696047","0.0015249151826696047","0.0015249151826696047"
"26544","0.0015212702499824231","0.0015212702499824231","0.0015212702499824231"
"27097","0.0015175435315029206","0.0015175435315029206","0.0015175435315029206"
"27650","0.0015137354527585052","0.0015137354527585052","0.0015137354527585052"
"28203","0.0015098464485665353","0.0015098464485665353","0.0015098464485665353"
"28756","0.0015058769629846672","0.0015058769629846672","0.0015058769629846672"
"29309","0.001501827449260155","0.001501827449260155","0.001501827449260155"
"29862","0.0014976983697780946","0.0014976983697780946","0.0014976983697780946"
"30415","0.001493490196008629","0.001493490196008629","0.001493490196008629"
"30968","0.001489203408453113","0.001489203408453113","0.001489203408453113"
"31521","0.0014848384965892504","0.0014848384965892504","0.0014848384965892504"
"32074","0.0014803959588152015","0.0014803959588152015","0.0014803959588152015"
"32627","0.0014758763023926763","0.0014758763023926763","0.0014758763023926763"
"33180","0.0014712800433890132","0.0014712800433890132","0.0014712800433890132"
"33733","0.0014666077066182537","0.0014666077066182537","0.0014666077066182537"
"34286","0.001461859825581216","0.001461859825581216","0.001461859825581216"
"34839","0.00145703694240458","0.00145703694240458","0.00145703694240458"
"35392","0.001452139607778985","0.001452139607778985","0.001452139607778985"
"35945","0.0014471683808961505","0.0014471683808961505","0.0014471683808961505"
"36498","0.0014421238293850255","0.0014421238293850255","0.0014421238293850255"
"37051","0.0014370065292469763","0.0014370065292469763","0.0014370065292469763"
"37604","0.001431817064790015","0.001431817064790015","0.001431817064790015"
"38157","0.001426556028562084","0.001426556028562084","0.001426556028562084"
"38710","0.0014212240212833943","0.0014212240212833943","0.0014212240212833943"
"39263","0.0014158216517778366","0.0014158216517778366","0.0014158216517778366"
"39816","0.001410349536903462","0.001410349536903462","0.001410349536903462"
"40369","0.0014048083014820477","0.0014048083014820477","0.0014048083014820477"
"40922","0.0013991985782277532","0.0013991985782277532","0.0013991985782277532"
"41475","0.001393521007674876","0.001393521007674876","0.001393521007674876"
"42028","0.001387776238104712","0.001387776238104712","0.001387776238104712"
"42581","0.0013819649254715343","0.0013819649254715343","0.0013819649254715343"
"43134","0.0013760877333276935","0.0013760877333276935","0.0013760877333276935"
"43687","0.001370145332747852","0.001370145332747852","0.001370145332747852"
"44240","0.0013641384022523581","0.0013641384022523581","0.0013641384022523581"
"44793","0.001358067627729772","0.001358067627729772","0.001358067627729772"
"45346","0.0013519337023585464","0.0013519337023585464","0.0013519337023585464"
"45899","0.001345737326527881","0.001345737326527881","0.001345737326527881"
"46452","0.001339479207757747","0.001339479207757747","0.001339479207757747"
"47005","0.0013331600606181016","0.0013331600606181016","0.0013331600606181016"
"47558","0.001326780606647297","0.001326780606647297","0.001326780606647297"
"48111","0.001320341574269692","0.001320341574269692","0.001320341574269692"
"48664","0.0013138436987124784","0.0013138436987124784","0.0013138436987124784"
"49217","0.0013072877219217319","0.0013072877219217319","0.0013072877219217319"
"49770","0.0013006743924776933","0.0013006743924776933","0.0013006743924776933"
"50323","0.001294004465509294","0.001294004465509294","0.001294004465509294"
"50876","0.0012872787026079332","0.0012872787026079332","0.0012872787026079332"
"51429","0.0012804978717405168","0.0012804978717405168","0.0012804978717405168"
"51982","0.0012736627471617698","0.0012736627471617698","0.0012736627471617698"
"52535","0.0012667741093258277","0.0012667741093258277","0.0012667741093258277"
"53088","0.001259832744797125","0.001259832744797125","0.001259832744797125"
"53641","0.0012528394461605796","0.0012528394461605796","0.0012528394461605796"
"54194","0.0012457950119310957","0.0012457950119310957","0.0012457950119310957"
"54747","0.0012387002464623862","0.0012387002464623862","0.0012387002464623862"
"55300","0.001231555959855129","0.001231555959855129","0.001231555959855129"
"55853","0.001224362967864468","0.001224362967864468","0.001224362967864468"
"56406","0.0012171220918068676","0.0012171220918068676","0.0012171220918068676"
"56959","0.0012098341584663315","0.0012098341584663315","0.0012098341584663315"
"57512","0.0012025","0.0012025","0.0012025"
"58065","0.0011951204538431306","0.0011951204538431306","0.0011951204538431306"
"58618","0.0011876963626134777","0.0011876963626134777","0.0011876963626134777"
"59171","0.001180228574015079","0.001180228574015079","0.001180228574015079"
"59724","0.0011727179407414643","0.0011727179407414643","0.0011727179407414643"
"60277","0.0011651653203782906","0.0011651653203782906","0.0011651653203782906"
"60830","0.0011575715753054218","0.0011575715753054218","0.0011575715753054218"
"61383","0.0011499375725984586","0.0011499375725984586","0.0011499375725984586"
"61936","0.0011422641839297345","0.0011422641839297345","0.0011422641839297345"
"62489","0.001134552285468785","0.001134552285468785","0.001134552285468785"
"63042","0.0011268027577823032","0.0011268027577823032","0.0011268027577823032"
"63595","0.0011190164857335964","0.0011190164857335964","0.0011190164857335964"
"64148","0.0011111943583815476","0.0011111943583815476","0.0011111943583815476"
"64701","0.0011033372688791026","0.0011033372688791026","0.0011033372688791026"
"65254","0.0010954461143712843","0.0010954461143712843","0.0010954461143712843"
"65807","0.0010875217958927561","0.0010875217958927561","0.0010875217958927561"
"66360","0.0010795652182649395","0.0010795652182649395","0.0010795652182649395"
"66913","0.0010715772899926978","0.0010715772899926978","0.0010715772899926978"
"67466","0.0010635589231606","0.0010635589231606","0.0010635589231606"
"68019","0.0010555110333287786","0.0010555110333287786","0.0010555110333287786"
"68572","0.0010474345394283857","0.0010474345394283857","0.0010474345394283857"
"69125","0.001039330363656669","0.001039330363656669","0.001039330363656669"
"69678","0.0010311994313716708","0.0010311994313716708","0.0010311994313716708"
"70231","0.0010230426709865697","0.0010230426709865697","0.0010230426709865697"
"70784","0.0010148610138636703","0.0010148610138636703","0.0010148610138636703"
"71337","0.0010066553942080583","0.0010066553942080583","0.0010066553942080583"
"71890","0.0009984267489609306","0.0009984267489609306","0.0009984267489609306"
"72443","0.0009901760176926112","0.0009901760176926112","0.0009901760176926112"
