"Step","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_top1_accuracy","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_top1_accuracy__MIN","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_top1_accuracy__MAX"
"50876","80.62971451206745","80.62971451206745","80.62971451206745"
"51429","80.7572645219704","80.7572645219704","80.7572645219704"
"51982","80.79970574088222","80.79970574088222","80.79970574088222"
"52535","81.006253006253","81.006253006253","81.006253006253"
"53088","80.9921059332824","80.9921059332824","80.9921059332824"
"53641","81.10098180686416","81.10098180686416","81.10098180686416"
"54194","81.28002716238011","81.28002716238011","81.28002716238011"
"54747","81.39286421639363","81.39286421639363","81.39286421639363"
"55300","81.51973516679399","81.51973516679399","81.51973516679399"
"55853","81.62068867951221","81.62068867951221","81.62068867951221"
"56406","81.74235350705939","81.74235350705939","81.74235350705939"
"56959","81.75570834394364","81.75570834394364","81.75570834394364"
"57512","81.89038847862378","81.89038847862378","81.89038847862378"
"58065","82.00073564779447","82.00073564779447","82.00073564779447"
"58618","82.07894066717596","82.07894066717596","82.07894066717596"
"59171","82.21509209744504","82.21509209744504","82.21509209744504"
"59724","82.36935178111649","82.36935178111649","82.36935178111649"
"60277","82.51931075460487","82.51931075460487","82.51931075460487"
"60830","82.5462467815409","82.5462467815409","82.5462467815409"
"61383","82.74385309679427","82.74385309679427","82.74385309679427"
"61936","82.77588206999971","82.77588206999971","82.77588206999971"
"62489","82.9342161106867","82.9342161106867","82.9342161106867"
"63042","82.96183119712532","82.96183119712532","82.96183119712532"
"63595","83.12627677333559","83.12627677333559","83.12627677333559"
"64148","83.20550038197096","83.20550038197096","83.20550038197096"
"64701","83.27306680247857","83.27306680247857","83.27306680247857"
"65254","83.35059276235746","83.35059276235746","83.35059276235746"
"65807","83.54129530600119","83.54129530600119","83.54129530600119"
"66360","83.6387403446227","83.6387403446227","83.6387403446227"
"66913","83.76391364626659","83.76391364626659","83.76391364626659"
"67466","83.89553801318507","83.89553801318507","83.89553801318507"
"68019","83.98268398268398","83.98268398268398","83.98268398268398"
"68572","84.02897320544379","84.02897320544379","84.02897320544379"
"69125","84.09993492346433","84.09993492346433","84.09993492346433"
"69678","84.25713719831367","84.25713719831367","84.25713719831367"
"70231","84.3712191947486","84.3712191947486","84.3712191947486"
"70784","84.46753246753246","84.46753246753246","84.46753246753246"
"71337","84.55150949268597","84.55150949268597","84.55150949268597"
"71890","84.63627875392581","84.63627875392581","84.63627875392581"
"72443","84.78352148940384","84.78352148940384","84.78352148940384"
