"Step","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_top1_accuracy","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_top1_accuracy__MIN","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_top1_accuracy__MAX"
"553","2.1838553603259485","2.1838553603259485","2.1838553603259485"
"1106","6.199700082053023","6.199700082053023","6.199700082053023"
"1659","8.352318705259881","8.352318705259881","8.352318705259881"
"2212","8.209376679964915","8.209376679964915","8.209376679964915"
"2765","9.27991398579634","9.27991398579634","9.27991398579634"
"3318","12.221373397843987","12.221373397843987","12.221373397843987"
"3871","15.935828877005347","15.935828877005347","15.935828877005347"
"4424","19.219194748606512","19.219194748606512","19.219194748606512"
"4977","22.470758000169766","22.470758000169766","22.470758000169766"
"5530","25.879410349998587","25.879410349998587","25.879410349998587"
"6083","28.991313697196052","28.991313697196052","28.991313697196052"
"6636","31.780437427496253","31.780437427496253","31.780437427496253"
"7189","34.27156721274368","34.27156721274368","34.27156721274368"
"7742","36.60922955040602","36.60922955040602","36.60922955040602"
"8295","38.69190504484622","38.69190504484622","38.69190504484622"
"8848","40.706787765611296","40.706787765611296","40.706787765611296"
"9401","42.810853634383044","42.810853634383044","42.810853634383044"
"9954","44.71176753529695","44.71176753529695","44.71176753529695"
"10507","46.60634354752002","46.60634354752002","46.60634354752002"
"11060","48.3039923039923","48.3039923039923","48.3039923039923"
"11613","49.85122938064114","49.85122938064114","49.85122938064114"
"12166","51.4077469371587","51.4077469371587","51.4077469371587"
"12719","52.93053787171434","52.93053787171434","52.93053787171434"
"13272","54.21022550434315","54.21022550434315","54.21022550434315"
"13825","55.52658235011176","55.52658235011176","55.52658235011176"
"14378","56.884022295787","56.884022295787","56.884022295787"
"14931","58.04385592620887","58.04385592620887","58.04385592620887"
"15484","59.24409359703478","59.24409359703478","59.24409359703478"
"16037","60.43256090314914","60.43256090314914","60.43256090314914"
"16590","61.370228899640665","61.370228899640665","61.370228899640665"
"17143","62.49837308660838","62.49837308660838","62.49837308660838"
"17696","63.440907676201796","63.440907676201796","63.440907676201796"
"18249","64.30693489517019","64.30693489517019","64.30693489517019"
"18802","65.19774778598308","65.19774778598308","65.19774778598308"
"19355","66.03072744249215","66.03072744249215","66.03072744249215"
"19908","66.70899470899471","66.70899470899471","66.70899470899471"
"20461","67.52511105452282","67.52511105452282","67.52511105452282"
"21014","68.116458704694","68.116458704694","68.116458704694"
"21567","68.76575276575277","68.76575276575277","68.76575276575277"
"22120","69.26520102990692","69.26520102990692","69.26520102990692"
"22673","69.86073621367738","69.86073621367738","69.86073621367738"
"23226","70.36346659876071","70.36346659876071","70.36346659876071"
"23779","70.80768469003763","70.80768469003763","70.80768469003763"
"24332","71.26254138018844","71.26254138018844","71.26254138018844"
"24885","71.63851399145517","71.63851399145517","71.63851399145517"
"25438","72.02297484650425","72.02297484650425","72.02297484650425"
"25991","72.29165605636194","72.29165605636194","72.29165605636194"
"26544","72.71855813032283","72.71855813032283","72.71855813032283"
"27097","73.11705288175877","73.11705288175877","73.11705288175877"
"27650","73.3276745041451","73.3276745041451","73.3276745041451"
"28203","73.66279036867272","73.66279036867272","73.66279036867272"
"28756","74.00356506238859","74.00356506238859","74.00356506238859"
"29309","74.13915060973885","74.13915060973885","74.13915060973885"
"29862","74.40330475624593","74.40330475624593","74.40330475624593"
"30415","74.71023965141612","74.71023965141612","74.71023965141612"
"30968","75.06402965226495","75.06402965226495","75.06402965226495"
"31521","75.16396457572928","75.16396457572928","75.16396457572928"
"32074","75.39190221543163","75.39190221543163","75.39190221543163"
"32627","75.62006620830151","75.62006620830151","75.62006620830151"
"33180","75.78111648699884","75.78111648699884","75.78111648699884"
"33733","76.05183487536429","76.05183487536429","76.05183487536429"
"34286","76.19692725575078","76.19692725575078","76.19692725575078"
